Timestamp,Player,Punches,Kicks,Movement_X,Movement_Y
1753515371.7048101,Player2,38,40,-2,0
1753515371.8330412,Player1,36,32,-2,0
1753515371.8330412,Player2,38,40,-2,0
1753515371.9599552,Player1,36,32,116,361
1753515371.9599552,Player2,38,41,116,361
1753515372.0853395,Player1,36,32,-122,-361
1753515372.0853395,Player2,39,41,-122,-361
1753515372.212165,Player1,36,32,110,353
1753515372.212165,Player2,39,42,110,353
1753515372.3402762,Player1,36,32,-5,-2
1753515372.3402762,Player2,40,42,-5,-2
1753515372.4663017,Player1,36,32,-5,0
1753515372.4663017,Player2,40,42,-5,0
1753515372.5771527,Player1,36,33,-5,2
1753515372.5771527,Player2,40,43,-5,2
1753515372.7041032,Player1,37,33,-6,3
1753515372.7041032,Player2,40,44,-6,3
1753515372.8290603,Player1,37,34,26,7
1753515372.8290603,Player2,40,45,26,7
1753515372.954436,Player1,37,34,-6,8
1753515372.954436,Player2,40,46,-6,8
1753515373.0816486,Player1,37,34,-25,9
1753515373.0816486,Player2,40,47,-25,9
1753515373.208947,Player1,38,34,-4,8
1753515373.208947,Player2,40,48,-4,8
1753515373.3355443,Player1,38,34,-5,7
1753515373.3355443,Player2,40,49,-5,7
1753515373.4612713,Player1,39,34,-6,2
1753515373.4612713,Player2,40,50,-6,2
1753515373.588106,Player1,39,35,9,-3
1753515373.588106,Player2,41,50,9,-3
1753515373.7160652,Player1,40,35,-3,-7
1753515373.7160652,Player2,42,50,-3,-7
1753515373.8429852,Player1,41,35,-65,-31
1753515373.8429852,Player2,43,50,-65,-31
1753515373.96855,Player1,41,36,0,-30
1753515373.96855,Player2,44,50,0,-30
1753515374.0955622,Player1,42,36,-1,19
1753515374.0955622,Player2,44,51,-1,19
1753515374.2207916,Player1,42,37,-1,13
1753515374.2207916,Player2,44,52,-1,13
1753515374.3472307,Player1,42,37,0,-14
1753515374.3472307,Player2,45,52,0,-14
1753515374.4746668,Player1,42,37,68,32
1753515374.4746668,Player2,45,53,68,32
1753515374.601274,Player1,42,37,3,0
1753515374.601274,Player2,45,53,3,0
1753515374.7293162,Player1,42,37,4,-1
1753515374.7293162,Player2,45,53,4,-1
1753515374.8561702,Player1,42,37,6,-4
1753515374.8561702,Player2,46,53,6,-4
1753515374.982925,Player1,42,37,6,-5
1753515374.982925,Player2,47,53,6,-5
1753515375.1106088,Player1,42,37,5,-6
1753515375.1106088,Player2,48,53,5,-6
1753515375.2220042,Player1,42,37,-30,-5
1753515375.2220042,Player2,49,53,-30,-5
1753515375.33551,Player1,42,37,4,-2
1753515375.33551,Player2,49,53,4,-2
1753515375.4612858,Player1,42,37,2,-3
1753515375.4612858,Player2,49,53,2,-3
1753515375.588325,Player1,42,37,-57,-14
1753515375.588325,Player2,50,53,-57,-14
1753515375.7142155,Player1,43,37,4,0
1753515375.7142155,Player2,50,53,4,0
1753515375.8413413,Player1,43,37,2,-56
1753515375.8413413,Player2,51,53,2,-56
1753515375.9683418,Player1,43,37,4,57
1753515375.9683418,Player2,51,54,4,57
1753515376.0953982,Player1,43,37,4,1
